Height (m),Start Time,End Time
2.0,124412,124430
1.9,124600,124620
1.8,124640,124700
1.7,124730,124750
1.6,124810,124830
1.5,124850,124910
1.4,124940,125000
1.3,125020,125040
1.2,125056,125116
1.1,125145,125205
1.0,125243,125303
0.9,125340,125400
0.8,125423,125443
0.7,125520,125540
0.6,125602,125622
0.5,125657,125719
0.4,125740,125800
0.3,125848,125908
0.2,125931,125951
1.0,130133,130153
0.9,130213,130233
0.8,130258,130318
0.7,130335,130355
0.6,130412,130432
0.5,130457,130517
0.4,130539,130559
0.3,130615,130635
0.2,130648,130708
